Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
12/23/20,28,0,,5,3,3,6,4,6,1,0,0,19,9,0,3,5,1,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
12/22/20,275,0,,22,60,59,34,36,34,20,10,0,149,124,2,51,16,59,81,27,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
12/21/20,812,5,,97,168,151,145,109,68,41,33,0,416,390,6,194,31,128,176,49,234,0,0,0,1,0,1,2,1,0,2,3,0,2,1,2,0,0,0,,,,,,,,,,,,,,,,,,
12/20/20,472,21,,60,105,87,74,61,38,28,19,0,242,230,0,111,23,78,150,21,89,0,0,0,1,2,7,6,5,0,7,14,0,9,1,7,4,0,0,,,,,,,,,,,,,,,,,,
12/19/20,692,16,,81,132,122,135,98,63,38,23,0,375,313,4,186,17,84,162,46,197,0,0,0,0,0,4,5,7,0,7,9,0,6,1,3,6,0,0,,,,,,,,,,,,,,,,,,
12/18/20,1178,14,21,154,265,226,193,148,111,50,30,1,603,570,5,350,46,189,207,60,326,0,0,0,0,1,2,4,7,0,7,7,0,8,0,2,4,0,0,1,1,3,1,0,6,3,6,0,14,7,0,4,4,9,4,0,0
12/17/20,1290,15,21,166,310,241,185,180,113,48,45,2,682,601,7,473,37,163,219,58,340,0,0,0,0,3,3,2,7,0,4,11,0,3,0,5,5,1,1,0,1,2,1,3,4,5,3,2,7,13,1,10,1,5,3,2,0
12/16/20,1339,18,27,169,316,241,213,195,110,51,44,0,655,677,7,409,32,243,243,59,353,0,0,0,1,0,6,5,6,0,8,10,0,1,0,10,5,1,1,1,2,0,0,9,7,2,6,0,16,11,0,7,0,14,5,0,1
12/15/20,1561,18,24,205,350,264,251,236,154,61,40,0,787,770,4,575,35,218,245,91,397,0,0,0,3,2,5,6,2,0,7,11,0,11,1,2,3,0,1,1,0,0,3,3,6,8,3,0,11,13,0,9,1,7,4,3,0
12/14/20,1362,18,42,145,313,277,197,186,122,77,45,0,704,648,10,333,37,244,208,52,488,0,0,0,0,2,2,10,4,0,11,7,0,10,1,4,2,0,1,6,1,3,2,6,9,8,7,0,15,27,0,17,0,11,11,2,1
